Student ID,CGPA,Internships,Projects,Workshops,AptitudeTestScore,SoftSkillsRating,PlacementTraining,Placed
1,7.5,1,1,1,65,4.4,0,0
2,8.9,0,3,2,90,4,1,1
3,7.3,1,2,2,82,4.8,0,0
4,7.5,1,1,2,85,4.4,1,1
5,8.3,1,2,2,86,4.5,1,1
6,7,0,2,2,71,4.2,0,0
7,7.7,1,1,1,76,4,0,0
8,7.7,2,1,0,85,3.5,1,0
9,6.5,1,1,0,84,3.9,1,0
10,7.8,1,3,2,79,4.4,1,1
11,8.3,2,3,2,90,4.8,1,1
12,7.9,1,3,2,90,4.8,1,1
13,8.3,2,3,2,90,4.5,1,1
14,7.7,1,1,1,74,4.6,1,0
15,7.5,1,1,1,66,4.1,0,0
16,7.4,0,2,1,78,4.4,0,0
17,8.6,0,3,0,84,4.8,1,1
18,8.2,2,3,2,90,4.7,1,1
19,6.8,2,3,0,73,4.4,1,1
20,7.4,1,2,0,70,4.4,1,0
21,7.6,2,1,0,84,4.4,1,1
22,7.4,1,2,1,72,3.5,1,1
23,7.7,0,1,0,77,3.4,1,1
24,7.4,1,1,0,60,3.8,0,0
25,7.4,1,2,1,90,4.3,1,0
26,6.7,1,1,1,70,4,0,0
27,7.4,2,3,2,78,4.3,1,0
28,8.3,1,1,1,81,4.5,1,0
29,7.5,1,2,1,84,4.4,0,0
30,7,0,1,1,63,3.9,1,0
31,8.4,2,3,2,90,4.6,1,1
32,7.4,1,2,1,76,4.7,1,0
33,8.5,1,3,0,90,4.8,1,1
34,8.6,1,2,2,75,4.3,1,1
35,6.9,0,1,0,70,3.9,1,1
36,7.8,1,1,1,67,4.3,0,0
37,8.3,1,2,2,89,4.8,1,1
38,8.2,1,2,2,77,4.2,1,1
39,8.5,2,3,3,90,4.7,1,1
40,6.7,0,3,2,88,4.2,1,1
41,8.6,2,3,1,90,4.8,1,1
42,8.3,2,3,2,85,4.8,1,1
43,6.7,0,1,1,72,4.4,0,0
44,8.6,2,3,2,88,4.7,1,1
45,7.4,1,3,0,86,4.8,1,0
46,6.7,1,1,2,73,4.5,0,1
47,6.9,1,1,1,76,4.4,0,0
48,7,1,1,0,62,4.3,1,0
49,8.1,1,3,2,90,4.6,1,1
50,7.7,1,2,0,74,3.8,0,0
51,6.5,0,2,1,77,4.8,1,0
52,8.2,1,3,0,65,4.1,0,0
53,8.1,2,3,2,90,4.7,1,1
54,6.5,1,2,1,80,4.5,1,0
55,6.5,0,2,1,72,4.5,0,0
56,8.8,2,3,2,90,4.8,1,1
57,8,1,1,0,74,4.5,1,0
58,8.4,2,2,2,81,4.6,1,1
59,8,1,1,0,86,4.2,0,0
60,6.6,0,1,0,76,3.9,1,1
61,7.7,2,2,0,86,4,1,0
62,8.2,1,2,1,86,4.3,1,1
63,7.2,1,2,0,74,4.1,0,0
64,6.6,1,2,1,72,4.1,0,0
65,7.6,1,2,0,77,4.6,0,0
66,8,0,3,0,68,4.2,0,1
67,7.8,2,3,2,87,4.8,0,0
68,7.2,1,1,0,82,4.6,1,0
69,7.7,1,1,0,74,4.1,1,1
70,8.4,1,1,2,67,3.8,1,0
71,7.5,1,1,1,69,4.3,1,0
72,6.7,0,2,1,79,4.1,0,0
73,8.1,2,3,2,90,4.8,1,1
74,7.5,1,2,0,73,4.4,0,0
75,7.4,2,1,0,75,4.2,1,0
76,6.5,1,1,0,63,4.5,1,0
77,8.1,1,3,1,90,4.6,1,1
78,6.9,1,1,0,83,3.5,1,0
79,8.2,1,3,0,83,4.8,1,1
80,7.6,1,2,1,72,3.9,1,0
81,6.6,1,1,1,69,3.6,1,0
82,6.7,1,2,1,74,4.8,1,1
83,8.2,2,3,2,76,4.5,1,0
