StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,PlacementTraining,PlacementStatus
1,7.5,1,1,1,65,4.4,No,NotPlaced
2,8.9,0,3,2,90,4,Yes,Placed
3,7.3,1,2,2,82,4.8,No,NotPlaced
4,7.5,1,1,2,85,4.4,Yes,Placed
5,8.3,1,2,2,86,4.5,Yes,Placed
6,7,0,2,2,71,4.2,No,NotPlaced
7,7.7,1,1,1,76,4,No,NotPlaced
8,7.7,2,1,0,85,3.5,Yes,NotPlaced
9,6.5,1,1,0,84,3.9,Yes,NotPlaced
10,7.8,1,3,2,79,4.4,Yes,Placed
11,8.3,2,3,2,90,4.8,Yes,Placed
12,7.9,1,3,2,90,4.8,Yes,Placed
13,8.3,2,3,2,90,4.5,Yes,Placed
14,7.7,1,1,1,74,4.6,Yes,NotPlaced
15,7.5,1,1,1,66,4.1,No,NotPlaced
16,7.4,0,2,1,78,4.4,No,NotPlaced
17,8.6,0,3,0,84,4.8,Yes,Placed
18,8.2,2,3,2,90,4.7,Yes,Placed
19,6.8,2,3,0,73,4.4,Yes,Placed
20,7.4,1,2,0,70,4.4,Yes,NotPlaced
21,7.6,2,1,0,84,4.4,Yes,Placed
22,7.4,1,2,1,72,3.5,Yes,Placed
23,7.7,0,1,0,77,3.4,Yes,Placed
24,7.4,1,1,0,60,3.8,No,NotPlaced
25,7.4,1,2,1,90,4.3,Yes,NotPlaced
26,6.7,1,1,1,70,4,No,NotPlaced
27,7.4,2,3,2,78,4.3,Yes,NotPlaced
28,8.3,1,1,1,81,4.5,Yes,NotPlaced
29,7.5,1,2,1,84,4.4,No,NotPlaced
30,7,0,1,1,63,3.9,Yes,NotPlaced
31,8.4,2,3,2,90,4.6,Yes,Placed
32,7.4,1,2,1,76,4.7,Yes,NotPlaced
33,8.5,1,3,0,90,4.8,Yes,Placed
34,8.6,1,2,2,75,4.3,Yes,Placed
35,6.9,0,1,0,70,3.9,Yes,Placed
36,7.8,1,1,1,67,4.3,No,NotPlaced
37,8.3,1,2,2,89,4.8,Yes,Placed
38,8.2,1,2,2,77,4.2,Yes,Placed
39,8.5,2,3,3,90,4.7,Yes,Placed
40,6.7,0,3,2,88,4.2,Yes,Placed
41,8.6,2,3,1,90,4.8,Yes,Placed
42,8.3,2,3,2,85,4.8,Yes,Placed
43,6.7,0,1,1,72,4.4,No,NotPlaced
44,8.6,2,3,2,88,4.7,Yes,Placed
45,7.4,1,3,0,86,4.8,Yes,NotPlaced
46,6.7,1,1,2,73,4.5,No,Placed
47,6.9,1,1,1,76,4.4,No,NotPlaced
48,7,1,1,0,62,4.3,Yes,NotPlaced
49,8.1,1,3,2,90,4.6,Yes,Placed
50,7.7,1,2,0,74,3.8,No,NotPlaced
51,6.5,0,2,1,77,4.8,Yes,NotPlaced
52,8.2,1,3,0,65,4.1,No,NotPlaced
53,8.1,2,3,2,90,4.7,Yes,Placed
54,6.5,1,2,1,80,4.5,Yes,NotPlaced
55,6.5,0,2,1,72,4.5,No,NotPlaced
56,8.8,2,3,2,90,4.8,Yes,Placed
57,8,1,1,0,74,4.5,Yes,NotPlaced
58,8.4,2,2,2,81,4.6,Yes,Placed
59,8,1,1,0,86,4.2,No,NotPlaced
60,6.6,0,1,0,76,3.9,Yes,Placed
61,7.7,2,2,0,86,4,Yes,NotPlaced
62,8.2,1,2,1,86,4.3,Yes,Placed
63,7.2,1,2,0,74,4.1,No,NotPlaced
64,6.6,1,2,1,72,4.1,No,NotPlaced
65,7.6,1,2,0,77,4.6,No,NotPlaced
66,8,0,3,0,68,4.2,No,Placed
67,7.8,2,3,2,87,4.8,No,NotPlaced
68,7.2,1,1,0,82,4.6,Yes,NotPlaced
69,7.7,1,1,0,74,4.1,Yes,Placed
70,8.4,1,1,2,67,3.8,Yes,NotPlaced
71,7.5,1,1,1,69,4.3,Yes,NotPlaced
72,6.7,0,2,1,79,4.1,No,NotPlaced
73,8.1,2,3,2,90,4.8,Yes,Placed
74,7.5,1,2,0,73,4.4,No,NotPlaced
75,7.4,2,1,0,75,4.2,Yes,NotPlaced
76,6.5,1,1,0,63,4.5,Yes,NotPlaced
77,8.1,1,3,1,90,4.6,Yes,Placed
78,6.9,1,1,0,83,3.5,Yes,NotPlaced
79,8.2,1,3,0,83,4.8,Yes,Placed
80,7.6,1,2,1,72,3.9,Yes,NotPlaced
81,6.6,1,1,1,69,3.6,Yes,NotPlaced
82,6.7,1,2,1,74,4.8,Yes,Placed
83,8.2,2,3,2,76,4.5,Yes,NotPlaced
84,8.3,2,3,1,90,4.2,Yes,Placed
85,7.6,0,2,0,86,4.8,Yes,Placed
86,6.7,1,3,0,87,4.6,No,NotPlaced
87,8.1,0,2,1,84,3.8,No,NotPlaced
88,8.5,1,2,2,79,3.9,Yes,Placed
89,8.8,1,3,0,76,4.7,Yes,Placed
90,7.2,1,2,0,68,4.2,Yes,NotPlaced
91,7.6,1,1,0,80,4.5,Yes,NotPlaced
92,7.1,1,1,0,70,3.3,No,NotPlaced
93,8.1,1,3,2,89,4.6,Yes,Placed
94,7.4,1,3,0,83,4.2,Yes,NotPlaced
95,7.7,2,2,2,85,4.8,Yes,NotPlaced
96,7.5,0,1,1,75,3.3,Yes,NotPlaced
97,7.5,1,1,0,64,4,No,NotPlaced
98,7.8,2,2,2,90,4.8,No,Placed
99,7.7,1,3,1,89,4.6,Yes,Placed
100,7.9,0,1,2,83,4.8,No,NotPlaced
101,7.4,1,2,1,63,3.9,No,NotPlaced
102,7.3,1,1,0,80,4.7,Yes,NotPlaced
103,6.5,1,1,1,62,3.8,Yes,NotPlaced
104,7.5,2,1,1,76,4.2,Yes,NotPlaced
105,6.5,1,1,0,68,4.1,No,NotPlaced
106,8.5,2,3,2,90,4.8,Yes,Placed
107,6.7,0,1,1,74,3.9,No,NotPlaced
108,6.5,0,1,0,82,4.4,No,NotPlaced
109,8.1,1,3,2,90,4.8,Yes,Placed
110,8.7,2,3,2,90,4.8,Yes,Placed
111,8,1,1,3,84,4,Yes,NotPlaced
112,7.3,1,3,1,81,4.2,Yes,NotPlaced
113,7.4,1,1,1,81,4.1,No,NotPlaced
114,8.6,2,3,0,81,4.7,No,Placed
115,6.7,2,1,2,76,4.8,No,NotPlaced
116,7.6,1,1,1,67,3.5,No,NotPlaced
117,8.8,1,3,2,90,4.6,Yes,Placed
118,6.5,1,2,0,65,4.4,Yes,NotPlaced
119,6.5,1,2,1,78,4.2,No,NotPlaced
120,7.4,1,2,1,75,4.2,Yes,NotPlaced
121,8.7,2,3,2,81,4.7,Yes,Placed
122,8,1,1,1,68,4.2,Yes,NotPlaced
123,7.7,1,3,2,90,4.8,No,Placed
124,7.3,1,1,0,64,3.2,Yes,NotPlaced
125,8.4,2,1,2,76,4.1,No,NotPlaced
126,7.7,1,2,0,73,4,Yes,Placed
127,7.5,1,1,1,68,4.7,No,NotPlaced
